,Treatment_code,Inoculant,Genotype,N.dosages,Growth.stage,Potential_N,Potential_N_micro,Rep
38,None_B73_0,None,B73,N:0,V8,516.1674651,0.516,2
71,None_B73_0,None,B73,N:0,VT,762.0693177,0.762,2
26,None_B73_0,None,B73,N:0,V8,796.9841759,0.797,5
19,None_B73_0,None,B73,N:0,V8,887.5058724,0.888,5
86,None_B73_0,None,B73,N:0,VT,918.170268,0.918,1
14,None_B73_60,None,B73,N:67,V8,922.8785931,0.923,1
45,None_B73_0,None,B73,N:0,V8,1008.689388,1.009,4
64,None_B73_0,None,B73,N:0,VT,1033.735045,1.034,4
1,None_B73_0,None,B73,N:0,V8,1137.333952,1.137,6
51,None_B73_60,None,B73,N:67,VT,1291.10839,1.291,2
6,None_B73_60,None,B73,N:67,V8,1362.375581,1.362,3
43,None_B73_60,None,B73,N:67,V8,1404.903666,1.405,1
59,None_B73_60,None,B73,N:67,VT,1427.823094,1.428,1
91,None_B73_60,None,B73,N:67,VT,1454.325802,1.454,5
31,None_B73_60,None,B73,N:67,V8,1483.401133,1.483,5
76,None_B73_60,None,B73,N:67,VT,1945.528892,1.946,6
40,None_BNI NIL 1_60,None,NIL 1,N:67,V8,724.7807451,0.725,1
84,None_BNI NIL 1_0,None,NIL 1,N:0,VT,823.7605828,0.824,1
70,None_BNI NIL 1_0,None,NIL 1,N:0,VT,906.1844817,0.906,2
65,None_BNI NIL 1_0,None,NIL 1,N:0,VT,907.7384185,0.908,2
88,None_BNI NIL 1_60,None,NIL 1,N:67,VT,967.3209525,0.967,6
77,None_BNI NIL 1_60,None,NIL 1,N:67,VT,987.2726761,0.987,5
37,None_BNI NIL 1_0,None,NIL 1,N:0,V8,1014.828984,1.015,6
7,None_BNI NIL 1_60,None,NIL 1,N:67,V8,1045.850344,1.046,6
25,None_BNI NIL 1_0,None,NIL 1,N:0,V8,1046.623931,1.047,3
12,None_BNI NIL 1_60,None,NIL 1,N:67,V8,1115.461691,1.115,4
2,None_BNI NIL 1_0,None,NIL 1,N:0,V8,1251.098298,1.251,2
46,None_BNI NIL 1_0,None,NIL 1,N:0,VT,1280.82776,1.281,2
52,None_BNI NIL 1_60,None,NIL 1,N:67,VT,1364.055813,1.364,1
32,None_BNI NIL 1_60,None,NIL 1,N:67,V8,1596.485479,1.596,2
57,None_BNI NIL 1_60,None,NIL 1,N:67,VT,1865.590342,1.866,3
82,None_BNI NIL 2_0,None,NIL 2,N:0,VT,725.1611327,0.725,3
90,None_BNI NIL 2_60,None,NIL 2,N:67,VT,815.7903832,0.816,3
16,None_BNI NIL 2_60,None,NIL 2,N:67,V8,863.0964207,0.863,4
68,None_BNI NIL 2_0,None,NIL 2,N:0,VT,904.1219025,0.904,5
47,None_BNI NIL 2_0,None,NIL 2,N:0,VT,941.7953171,0.942,6
23,None_BNI NIL 2_0,None,NIL 2,N:0,V8,1022.692937,1.023,2
3,None_BNI NIL 2_0,None,NIL 2,N:0,V8,1027.449106,1.027,1
73,None_BNI NIL 2_0,None,NIL 2,N:0,VT,1060.130786,1.06,3
78,None_BNI NIL 2_60,None,NIL 2,N:67,VT,1171.951717,1.172,2
28,None_BNI NIL 2_0,None,NIL 2,N:0,V8,1239.715728,1.24,2
53,None_BNI NIL 2_60,None,NIL 2,N:67,VT,1310.244886,1.31,4
35,None_BNI NIL 2_0,None,NIL 2,N:0,V8,1336.273915,1.336,3
42,None_BNI NIL 2_60,None,NIL 2,N:67,V8,1352.706321,1.353,4
8,None_BNI NIL 2_60,None,NIL 2,N:67,V8,1441.335327,1.441,2
33,None_BNI NIL 2_60,None,NIL 2,N:67,V8,1787.516619,1.788,3
61,None_BNI NIL 2_60,None,NIL 2,N:67,VT,2059.831068,2.06,1
85,Proven_B73_0,Proven,B73,N:0,VT,728.0549496,0.728,4
18,Proven_B73_0,Proven,B73,N:0,V8,752.5340089,0.753,3
27,Proven_B73_0,Proven,B73,N:0,V8,801.4305873,0.801,3
72,Proven_B73_0,Proven,B73,N:0,VT,943.0003592,0.943,2
54,Proven_B73_60,Proven,B73,N:67,VT,1054.770233,1.005,3
17,Proven_B73_60,Proven,B73,N:67,V8,1065.906029,1.066,3
87,Proven_B73_60,Proven,B73,N:67,VT,1098.509903,1.099,5
79,Proven_B73_60,Proven,B73,N:67,VT,1114.89202,1.115,5
63,Proven_B73_0,Proven,B73,N:0,VT,1224.513679,1.225,4
39,Proven_B73_60,Proven,B73,N:67,V8,1294.925621,1.295,1
62,Proven_B73_60,Proven,B73,N:67,VT,1521.753388,1.522,4
9,Proven_B73_60,Proven,B73,N:67,V8,1865.606589,1.866,3
34,Proven_B73_60,Proven,B73,N:67,V8,2027.745224,2.028,2
81,Proven_BNI NIL 1_0,Proven,NIL 1,N:0,VT,652.5743808,0.653,6
92,Proven_BNI NIL 1_60,Proven,NIL 1,N:67,VT,868.406438,0.868,1
24,Proven_BNI NIL 1_0,Proven,NIL 1,N:0,V8,903.1248924,0.903,4
55,Proven_BNI NIL 1_60,Proven,NIL 1,N:67,VT,936.3858374,0.936,5
80,Proven_BNI NIL 1_60,Proven,NIL 1,N:67,VT,948.5851959,0.949,6
66,Proven_BNI NIL 1_0,Proven,NIL 1,N:0,VT,1031.54789,1.032,5
69,Proven_BNI NIL 1_0,Proven,NIL 1,N:0,VT,1133.671066,1.134,3
21,Proven_BNI NIL 1_0,Proven,NIL 1,N:0,V8,1220.794711,1.221,4
4,Proven_BNI NIL 1_0,Proven,NIL 1,N:0,V8,1229.367502,1.229,1
44,Proven_BNI NIL 1_60,Proven,NIL 1,N:67,V8,1328.121866,1.328,6
49,Proven_BNI NIL 1_0,Proven,NIL 1,N:0,VT,1414.163439,1.414,6
60,Proven_BNI NIL 1_60,Proven,NIL 1,N:67,VT,1436.633929,1.437,5
15,Proven_BNI NIL 1_60,Proven,NIL 1,N:67,V8,1483.489554,1.483,4
10,Proven_BNI NIL 1_60,Proven,NIL 1,N:67,V8,1506.148232,1.506,6
83,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,VT,680.4512021,0.68,2
22,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,V8,723.0651062,0.723,6
36,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,V8,819.2903951,0.819,5
89,Proven_BNI NIL 2_60,Proven,NIL 2,N:67,VT,828.7182019,0.829,5
67,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,VT,937.1844556,0.937,1
75,Proven_BNI NIL 2_60,Proven,NIL 2,N:67,VT,996.0427302,0.996,1
74,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,VT,1031.480165,1.031,4
41,Proven_BNI NIL 2_60,Proven,NIL 2,N:67,V8,1052.989525,1.053,4
13,Proven_BNI NIL 2_60,Proven,NIL 2,N:67,V8,1114.240465,1.114,1
5,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,V8,1128.957936,1.129,5
56,Proven_BNI NIL 2_60,Proven,NIL 2,N:67,VT,1234.685187,1.235,6
58,Proven_BNI NIL 2_60,Proven,NIL 2,N:67,VT,1263.364995,1.263,3
29,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,V8,1291.05898,1.291,5
50,Proven_BNI NIL 2_0,Proven,NIL 2,N:0,VT,1531.453704,1.531,6
30,Proven_BNI NIL 2_60,Proven,NIL 2,N:67,V8,1775.648201,1.776,4
